No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,Young'sModulusatRT(GPa)
10266,GP02-351132,USPatentCorningInc.(US),2012,A0308803,Glass,AlkaliSilicate,Alumino-Silicate,,Melting,SheetGlass,,,ChemicalStrengthen,Display,Window,Solar,,ex.6,,64.76,3.01,9.43,2.99,1.31,0,0.91,12.02,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.2
3130,GP02-181726,JapanesePatentHoyaCorp.(J),1998,A241134,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,,,66.71,0,8.49,0,1,0,12.08,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.04,0,0,0,0,0,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
8493,GP02-293983,USPatentAsahiGlass(J),2009,A0239035,Glass,AlkaliSilicate,Alkaline-earthSilicate,Alumino-Silicate,,,,,Substrate,MagneticMemoryDisk,,,,Ex.3,,59.97,0,8.51,7.01,6,0,0,4.01,5.5,0,0,0,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
8969,GP06-301676,JapanesePatentNipponElectricGlass(J),2011,A105554,Glass,Alumino-Silicate,,,Fiber,,,,Substrate,ElectricCircuitCircuitBoard,,,,Ex.3,,64.47,3.78,12.73,16.48,1.56,0,0,0.2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5
5938,GP04-225329,USPatentSchottAG(DE),2002,A0058577,Glass,Lead-Silicate,,,,,,,OpticalUse,Display,,,,,,56.54,0,0,0,0,0,0,0.85,0.85,0,0,0,0,0,0,0,0,0,41.56,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.4
6098,GP02-226429,JapanesePatentNipponSheetGlass(J),2003,A012342,Glass,AlkaliSilicate,Alkaline-earthSilicate,,SheetGlass,,,,IRAbsorbingMaterial,UVAbsorbingMaterial,VehicleWindow,,,Ex.5,,69.31,0,1.72,2.48,10.02,0,0.33,14.77,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.12,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1
6669,XP03-253680,USPatentKonicaMinolta(J),2003,A6642162,Glass-Ceramics,Alkaline-earthSilicate,Zinc-Silicate,Alumino-Silicate,,,,,Substrate,MagneticMemoryDisk,,,,Heattreatment:660C5h+700C5hCrystalothers:Mg-Al-silicateZinctitaniumoxideEx.7,,50.54,0,2.76,30.69,0,0,4.71,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
5219,XP03-214233,EuropeanPatentHoyaCorp.(J),2001,A1067102,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,OtherSilicate,,,,,MagneticMemoryDisk,Substrate,,,,Crystal:Titanate,,43,0,12.5,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
9726,GP20-312951,USPatentSchottGlassTech.(US),2013,A8486850,Glass,Phosphate,,,,,,,Laser,,,,,Ex.7,,7.37,7.37,8.24,0,0,0,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,1.25,1.05,0,0,0,0,0,0,0,0,0,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4
10521,GP03-353768,USPatentHoyaCorp.(J),2013,A0343166,Glass,Alkaline-earthSilicate,AlkaliSilicate,Alumino-Silicate,Melting,Disk,,,MagneticMemoryDisk,ChemicalStrengthen,,,,ex.1,,65,0,6,17,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
3400,XP03-189239,JapanesePatentHoyaCorp.(J),1999,A343143,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,,,,,,,,,,,,47,0,15,24,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.4
8532,GP02-294439,EuropeanPatentSaint-Gobain(FR),2009,A2091878,Glass,AlkaliSilicate,Alkaline-earthSilicate,,Fiber,,,,Composite,,,,,Ex.6,,70.97,0,0,0,4.32,0,3.92,7.93,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.8
9783,GP06-313274,USPatentSchottAG(DE),2013,A0186140,Glass,Alumino-Silicate,,,,,,,Window,,,,,Ex.5,,60.99,0,19.78,0,0,0,3.57,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
632,GB05-025643,HandbookofGlassData,1987,v.00Cp.0438,Glass,Boro-Silicate,AlkaliSilicate,,,,,,,,,,,,,65,25,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.42
2842,GB02-164816,FundamentalsofInorganicGlasses,1994,v.001p.0171,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,76.92,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
3466,GP03-190511,EuropeanPatentHoyaCorp.(J),1999,A0953548,Glass,Alkaline-earthSilicate,,,,,,,,,,,,,,40,0,2,30,15,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
3522,GI06-191645R,NGF'sAdditionalNewData(J),2001,v.004p.0001,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,ElectronicsElectrical,Substrate,,,,GlassName:C005Melting:inPtRhcrucibleat1620Cfor19hr.Annealing:at820Cfor1hr.,,60.61,0,25.01,0,0,0,14.18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.6
376,GB02-006709,HandbookofGlassProperties,1986,v.001p.0327,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,70,0,13,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
44,GB02-004795,HandbookofGlassProperties,1986,v.001p.0313,Glass,AlkaliSilicate,,,,,,,,,,,,,,85,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.67
9957,GP05-315208,USPatentPPGIndustries(US),2014,A8697591,Glass,Boro-Silicate,Alumino-Silicate,Alkaline-earthSilicate,Fiber,,,,Fiber,,,,,Ex.14,,66.65,7.46,5.08,14.37,1.15,0,2.99,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87.2
7467,XP06-269892,EuropeanPatentSchottAG(DE),2005,A1558535,Glass-Ceramics,Alumino-Silicate,Alkaline-earthSilicate,,GlassCeramics,,,,Mirror,Substrate,,,,Ex.5,,28,2,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
9692,GP02-312479,JapanesePatentNipponSheetGlass(J),2013,A159546,Glass,AlkaliSilicate,Boro-Silicate,Alumino-Silicate,Flake,,,,Filler,,,,,Ex.5,,73.26,7.3,4.58,0.42,0,0,1.51,11.49,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
8780,GP02-298830,JapanesePatentAsahiGlass(J),2010,A254549,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.101,,64.53,0,7.69,7.49,4,0,0,8.79,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.3
2983,XB03-175093,DataBookofGlassComposition(J),1991,v.001p.0232,Glass-Ceramics,Alkaline-earthSilicate,OtherSilicate,,GlassCeramics,,,,ArtificialTooth,,,,,,,35.41,0,0,7.76,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
7605,GJ03-273525,J.Non-CrystallineSolids,2006,v.352p.3613,Glass,Alkaline-earthSilicate,Alumino-Silicate,,,,,,,,,,,,,32.52,0,19.16,6.62,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
6893,XP06-256858,USPatentAsahiGlass(J),2004,A0116268,Glass-Ceramics,Alumino-Silicate,,,GlassCeramics,,,,Substrate,ColorFilter,,,,Ex.5Crystal:Na2K2Al4Si4O16,,44.1,0,25.3,0,0,0,0,8.4,8.4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
2385,GB02-138837,HandbookofGlassData,1993,v.00Ep.0435,Glass,AlkaliSilicate,,,,,,,,,,,,,,80,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3
10642,GP02-355917,JapanesePatentNipponSheetGlass(J),2012,AW131824,Glass,AlkaliSilicate,Alkaline-earthSilicate,,SheetGlass,,,,MagneticMemoryDisk,ChemicalStrengthen,,,,ex.48,,64.35,0,7.18,8.77,0.68,0,0,14.96,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0.04,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2
9832,GP06-313502,EuropeanPatentOCVIntellectualCapital(US),2013,A2630094,Glass,Alumino-Silicate,Alkaline-earthSilicate,,Fiber,,,,Composite,Fiber,,,,OCVIntellectualCapitalLLC.Ex.8,,76.11,0,12.76,8.07,0,0,3.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1
6437,GJ05-252149,PhysicsandChemistryofGlasses,2003,v.044p.0383,Glass,Boro-Silicate,,,MixedAlkali,,,,RadioActiveWasteSolidi,,,,,,,56.21,17.22,7.26,0,0,0,9.56,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
7362,GP05-268734,JapanesePatentHoyaCorp.(J),2005,A302289,Glass,Boro-Silicate,,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.4,,30,30,12,8,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.52
3155,GP03-182920,EuropeanPatentHoyaCorp.(J),1998,A0858974,Glass,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,,,43,0,25,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
6596,XP03-253517,USPatentHoyaCorp.(J),2003,A6627565,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Heattreatment:820C2h+1100C4hEx.3,,55,0,14.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.1
3793,XP03-205122,JapanesePatentHoyaCorp.(J),2000,A169186,Glass-Ceramics,Alkaline-earthSilicate,,,GlassCeramics,,,,MagneticMemoryDisk,,,,,,,47,0,0,42,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
185,GB02-006496,HandbookofGlassProperties,1986,v.001p.0326,Glass,AlkaliSilicate,Lead-Silicate,,,,,,,,,,,,,68,0,0,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0,25.12,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.54
4971,XP03-212865,JapanesePatentKonicaMinolta(J),2001,A287961,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,OtherSilicate,GlassCeramics,,,,MagneticMemoryDisk,,,,,crystal:(MgAl)SiO3,,42.59,0,6.14,28.22,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.3
1073,GJ05-047300,J.CeramicSoc.Japan,1983,v.091p.0199,Glass,Boro-Silicate,,,,,,,,,,,,,,34.48,34.48,0,0,0,0,0,31.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.57
324,GB02-006657,HandbookofGlassProperties,1986,v.001p.0329,Glass,AlkaliSilicate,Boro-Silicate,,,,,,,,,,,,,10,80,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5
3362,GP03-188949,JapanesePatentNipponSheetGlass(J),1999,A302033,Glass,Alkaline-earthSilicate,AlkaliSilicate,Alumino-Silicate,,,,,MagneticMemoryDisk,Substrate,,,,,,45.01,0,20.01,19.81,4,0,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
4393,XP03-211042,JapanesePatentKonicaMinolta(J),2001,A026455,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,,,,,MagneticMemoryDisk,,,,,Crystal:Magnesium-Aluminosilicate,,54.77,0,7.66,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.6
1146,GC05-051420,CorningInc.(US),1976,7070,Glass,Boro-Silicate,,,PowderFrit,Tube,Pressed,,ElectronicsElectrical,,,,,LowElectricalLoss,,74.78,22.4,0.61,0,0,0,1.04,0.5,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.96
3247,GJ06-187143,J.AmericanCeramicSoc.,1999,v.082p.3501,Glass,Alumino-Silicate,OtherSilicate,,,,,,,,,,,,,50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.2
166,GB02-006477,HandbookofGlassProperties,1986,v.001p.0326,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,59,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1
94,GJ06-005813,J.AmericanCeramicSoc.,1978,v.061p.0248,Glass,Alumino-Silicate,,,,,,,,,,,,3Tables4Figures,,55,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.5
1087,GJ05-047314,J.CeramicSoc.Japan,1983,v.091p.0199,Glass,Boro-Silicate,,,,,,,,,,,,,,51.28,25.64,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.7
6825,GP06-255679,JapanesePatentNipponElectricGlass(J),2004,A075494,Glass,Alumino-Silicate,Boro-Silicate,,,,,,Display,Substrate,,,,Ex.1,,69.67,9.64,10.39,0.16,9.15,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
10080,XP06-316491,USPatentOharaInc.(J),2014,A8852764,Glass-Ceramics,Alumino-Silicate,Zinc-Silicate,Alkaline-earthSilicate,,,,,Substrate,MagneticMemoryDisk,,,,Ex.6,,55.65,0.95,11.67,13.12,0,0,0,2.13,0,0,0,0,0,0,0,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
5775,GP02-224328,USPatentNipponSheetGlass(J),2002,A6399527,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Substrate,MagneticMemoryDisk,,,,,,47,0,4,16,4,0,20,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
1485,GJ05-068554,J.Non-CrystallineSolids,1973,v.012p.0271,Glass,Boro-Silicate,,,,,,,,,,,,,,50.07,45.35,0,0,0,0,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.02
9285,GP06-307199,JapanesePatentAsahiGlass(J),2012,A020892,Glass,Alumino-Silicate,Zinc-Silicate,Boro-Silicate,,,,,Substrate,Window,,,,Ex.10,,63.43,6.13,11.97,5.37,0,0,3.51,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
5820,GP02-224657,USPatentCorningInc.(US),2002,A6436858,Glass,AlkaliSilicate,Zinc-Silicate,,,,,,Material,,,,,Organiclensmold.,,66.06,0.88,2.37,4.73,0,0,0,11.78,3.5,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5
9630,GP05-311355,USPatentHoyaCorp.(J),2013,A0040169,Glass,Boro-Silicate,Alkaline-earthSilicate,AlkaliSilicate,,,,,Substrate,MagneticMemoryDisk,,,,Ex.8,,50,10,10,10,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.62
3602,GI03-191737R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Alkaline-earthSilicate,Alumino-Silicate,AlkaliSilicate,,,,,Fiber,,,,Annealing:at800Cfor1h.,GlassNameC101.Melting:inPT-Rhcrucibleat1600Cfor7h.,,58.57,0,7.02,2.72,24.07,0,0,2.62,2.54,0,0,0,0,0,0,0,0.006088,0,0,0,0,0,0.13,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.4
10301,GP02-351653,USPatentOharaInc.(J),2013,A8394515,Glass,AlkaliSilicate,OtherSilicate,,Melting,Disk,,,Substrate,ChemicalStrengthen,MagneticMemoryDisk,,,ex.6,,64.65,0.91,5.57,2.35,1.12,0,10.55,6.1,0.67,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,3.07,0.15,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.1
8841,GP05-299489,USPatentCorningInc.(US),2010,A7851394,Glass,Boro-Silicate,Alkaline-earthSilicate,Alumino-Silicate,,,,,Display,Substrate,,,,Ex.2,,68.64,9.99,10.6,2.02,8.18,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.14
3548,GI06-191676,NGF'sAdditionalNewData(J),2001,v.004p.0001,Glass,Alumino-Silicate,AlkaliSilicate,,,,,,ElectronicsElectrical,Substrate,,,,GlassNameC036Melting:inPtRhat1640Cfor7hr.Anneal:at710Cfor1hr.Crystalsalittle.,,65.51,0,15.29,0,0,0,16.3,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8
4536,GP03-211790,JapanesePatentAsahiGlass(J),2001,A134925,Glass,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,,,50,0,7,19,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
2851,GB02-164825,FundamentalsofInorganicGlasses,1994,v.001p.0171,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,62.5,0,0,25,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
7473,XP03-269960,EuropeanPatentHoyaCorp.(J),2005,A1577275,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,GlassCeramics,,,,Substrate,MagneticMemoryDisk,,,810C4h+1000C4h,Ex.1-3,,48.05,0,10.32,33.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.4
932,GJ35-039284,J.Non-CrystallineSolids,1986,v.083p.0335,Glass,Germanate,AlkaliSilicate,,,,,,,,,,,,,40,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.42
