No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,Young'sModulusatRT(GPa)
3729,GP02-204854,JapanesePatentNipponSheetGlass(J),2000,A143281,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,MagneticMemoryDisk,,,,,,,61.83,0,3.91,4.31,7.41,0,15.23,1.5,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5
789,GB02-025813,HandbookofGlassData,1987,v.00Cp.0455,Glass,AlkaliSilicate,Boro-Silicate,,,,,,,,,,,,,48.78,24.39,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.06
63,GB05-004823,HandbookofGlassProperties,1986,v.001p.0315,Glass,Boro-Silicate,,,,,,,,,,,,,,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6
104,GJ06-005823,J.AmericanCeramicSoc.,1978,v.061p.0248,Glass,Alumino-Silicate,,,,,,,,,,,,3Tables4Figures,,42,0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5
5098,GP06-213197,JapanesePatentAsahiGlass(J),2001,A348247,Glass,Alumino-Silicate,Boro-Silicate,Alkaline-earthSilicate,NonAlkali,,,,Display,Substrate,SubstrateforPhotolithographyMask,,,,,75.64,7.81,7.22,4.29,3.09,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2
7560,XP03-272494,USPatentHoyaCorp.(J),2006,A7015161,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,GlassCeramics,,,,Substrate,MagneticMemoryDisk,,,Tg+22C4hand1000C4h,Ex.6Crystalothers:Titanate,,41,0,12.5,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.1
7151,XP03-262403,USPatentHoyaCorp.(J),2004,A0241455,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,GlassCeramics,,,,OpticalMemory,Magneto-OpticalMemory,Substrate,MagneticMemoryDisk,,Ex.1-1Heattreatment:800C4h;1000C4h,,50.54,0,10.43,30.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.6
3355,GP03-188933,JapanesePatentNipponSheetGlass(J),1999,A302032,Glass,Alkaline-earthSilicate,Alumino-Silicate,AlkaliSilicate,,,,,Substrate,MagneticMemoryDisk,,,,,,57.39,0,8,4.51,5,0,8.7,8.4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
5889,XP03-225190,USPatent,2002,A0028740,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,X.Zouetal.(JP)1sttreatment:790C4h2ndtreatment:1000C4hCrystal:Mg-Al-titanate,,40.24,0,6.89,45.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
8021,XP06-285472,EuropeanPatentSchottAG(DE),2008,A1888475,Glass-Ceramics,Alumino-Silicate,OtherSilicate,,,,,,Coating,,,,850C1h+950C2h+1050C2h.,Ex.1,,26.09,4.35,26.09,30.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
