No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,AbbeValue(nd-1)/(nF-nC)
11535,GP03-255669,JapanesePatentNipponElectricGlass(J),2004,A075456,Glass,Alkaline-earthSilicate,Boro-Silicate,,Pressed,Molded,,,OpticalUse,Lens&Prism,,,,Ex.8,,58.89,10.99,0.68,0,0,3.45,15.12,2.47,0,0,0,0,0,0,0,1.03,3.62,0,0,0,0,0,0,0,0.05,1.54,0,0.86,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6
2849,GC01-052209,Shin-EtsuQuartzProducts(J),1980,Suprasil-W,Glass,Silica,,,CVD,Block,Slab,Rod,OpticsOptoelectronics,IR-TransmittingMaterial,UV-TransmittingMaterial,,,Non-Water,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7
13522,GP03-287011,JapanesePatentOharaInc.(J),2008,A254975,Glass,Alkaline-earthSilicate,,,Pressed,,,,OpticalUse,Lens&Prism,,,,Ex.3,,51.7,7.29,1.87,0,0,9.93,25.47,3.07,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
6617,GP09-153887,USPatentOharaInc.(J),1994,A5320987,Glass,OtherSilicate,Alkaline-earthSilicate,,,,,,OpticalUse,Lens&Prism,,,,,,60.29,0,0,0,0,1.11,0,9.71,6.53,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,20.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9
14586,GP02-298530,JapanesePatentOharaInc.(J),2010,A202417,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,OpticalUse,Lens&Prism,,,,Ex.7,,58.21,5.53,1.5,0,4.67,7.35,0,5.63,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3
8531,GP02-293473,USPatentOharaInc.(J),2009,A7572746,Glass,AlkaliSilicate,,,,,,,OpticalUse,Lens&Prism,,,,Ex.2,,72.53,5.31,0,0,3.43,0,2.15,3.22,11.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8
4699,GP03-092939,USPatentSumitaOpticalGlass(J),1981,A4297141,Glass,Alkaline-earthSilicate,Zinc-Silicate,AlkaliSilicate,,,,,Lens&Prism,,,,,,,59.91,7.91,1.91,0,12.72,0,0,3.14,1.72,0,0,0,0,0,0,11.16,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6
4907,GB04-096439,PropertiesofGlass,1954,v.001p.0375,Glass,Lead-Silicate,AlkaliSilicate,,,,,,,,,,,,,53.89,0,0,0,0,0,0,3.35,0.27,0,0,0,0,0,0,0,0,0,42.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1801,GB02-019548,HandbookofGlassData,1987,v.00Cp.0168,Glass,AlkaliSilicate,Lead-Silicate,,,,,,,,,,,,,80.49,0,0,0,0,0,0,0,6.51,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7
14491,GP03-297264,EuropeanPatentNipponSheetGlass(J),2010,A2168926,Glass,Alkaline-earthSilicate,,,Flake,,,,Filler,,,,,Ex.1,,59.99,0,7.7,4.57,16.58,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
3746,GP09-067758,JapanesePatentHoyaCorp.(J),1981,A059640,Glass,OtherSilicate,AlkaliSilicate,Alumino-Silicate,,,,,OphthalmicLens,,,,,,,69.57,0,1.54,0,0,0,8.41,2.03,4.53,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4
2616,GP09-031159,JapanesePatent,1984,A003041,Glass,OtherSilicate,AlkaliSilicate,Alkaline-earthSilicate,,,,,OphthalmicLens,,,,,,,64.95,0,0,0,10.34,0,0,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.53
2515,GP03-029154,JapanesePatentOharaInc.(J),1985,A046945,Glass,Alkaline-earthSilicate,Lead-Silicate,AlkaliSilicate,,,,,OpticsOptoelectronics,Lens&Prism,OpticalFiber,,,,,57.8,3.32,3.03,7.66,0,11.07,5.16,4.98,3.27,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4
11585,GP03-256089,JapanesePatent,2004,A175592,Glass,Alkaline-earthSilicate,,,Pressed,Molded,,,OpticalUse,Lens&Prism,,,,Hikarigarasuco.Ltd.Ex.8,,62.63,7.21,1.85,0,6.15,1.43,11.54,1.01,0.66,0,0,0,0,0,0,5.39,1.21,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
6763,GP03-155824,JapanesePatent,1994,A183774,Glass,Alkaline-earthSilicate,AlkaliSilicate,,NonLead,,,,TableWare,,,,,,,65.31,1.02,0,0,1.89,5.99,0,6.84,5.25,0,0,0,0,0,0,7.82,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
8002,GP03-181448,JapanesePatentOharaInc.(J),1998,A194772,Glass,Alkaline-earthSilicate,Boro-Silicate,,HotPressed,,,,OpticalUse,Lens&Prism,,,,,,54.51,10.23,1.61,0,0,12.77,13.11,1.72,0.38,0,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.6
13381,GP03-284888,USPatentSchottAG(DE),2008,A7323427,Glass,Alkaline-earthSilicate,AlkaliSilicate,Zinc-Silicate,,,,,OpticalUse,Lens&Prism,OpticalWaveguide,,,Ex.2,,50.65,5.09,0.35,0,4.42,3.69,7.1,3.42,4.88,0,0,0,0,0,0,16.52,0,0,0,0,0,0,0.11,0,0,0.65,0,0,0,0,0,0,0,2.87,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.08
5489,GP09-107277,EuropeanPatentCorningInc.(US),1989,A0315353,Glass,OtherSilicate,AlkaliSilicate,,,,,,OpticsOptoelectronics,OphthalmicLens,,,,Multifocallens,,60.21,5.6,0.32,0,4.48,0,1.55,6.34,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,12.13,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4
10873,GP02-227729,USPatentSchottAG(DE),2003,A6551952,Glass,AlkaliSilicate,OtherSilicate,,NonLead,,,,OpticalUse,,,,,Ex.5,,65.51,0,3.29,0,0,0,0,9.74,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.67
2313,GJ04-041168,GlassPhysics&Chemistry,1985,v.011p.0360,Glass,Lead-Silicate,AlkaliSilicate,,,,,,OpticsOptoelectronics,,,,,,,78.67,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1
10059,GI04-218514,Proc.ICG,1998,v.A07p.:011,Glass,Lead-Silicate,AlkaliSilicate,,,,,,WasteDisposal,,,,,,,53.12,0,0,0,0,0,0,0,16.19,0,0,0,0,0,0,0,0,0,29.7,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
7586,GP02-261974,USPatent,2004,A0132604,Glass,AlkaliSilicate,Boro-Silicate,,,,,,ColorFilter,,,,,S.Grunetal.Ex.8,,73.61,10.16,0,0,0.23,0.56,0,9.68,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.03
11916,GP07-261706,USPatentSchottAG(DE),2004,A6806216,Glass,Zinc-Silicate,Lead-Silicate,,,,,,OpticalUse,Lens&Prism,,,,Ex.11,,50.28,0,0,0,0,0,0,12.2,7.2,0,0,0,0,0,0,29.3,0,0,0.95,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2068,GB02-026186,HandbookofGlassData,1987,v.00Cp.0589,Glass,AlkaliSilicate,OtherSilicate,,,,,,,,,,,,,80,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5
13871,GP07-290985,EuropeanPatentSchottAG(DE),2009,A2072477,Glass,Zinc-Silicate,AlkaliSilicate,,Fiber,,,,OpticalWaveguide,,,,,Ex.5,,58.49,1.08,0,0,0,0.42,2.04,7.98,5.04,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0.12,0,0,2.12,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.37
4777,GB06-137687,HandbookofGlassData,1993,v.00Ep.0133,Glass,Alumino-Silicate,,,,,,,,,,,,,,93.86,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.3
6598,GP03-153692,USPatentOharaInc.(J),1994,A5300467,Glass,Alkaline-earthSilicate,,,NonLead,,,,OpticalUse,Lens&Prism,,,,,,51.82,8.52,0,0,7.27,9.67,0,5.98,3.94,0,0,0,0,0,0,5.92,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2
12144,GP02-265542,USPatentOharaInc.(J),2005,A6846762,Glass,AlkaliSilicate,Alkaline-earthSilicate,OtherSilicate,NonLead,,,,OpticalUse,Lens&Prism,,,,Ex.7,,56.36,2.57,0,0,0.66,5.34,0,2.4,7.11,0,0,0,0,0,0,4.57,5.75,0,0,0,0,0,0,0,0.03,0,0,0,0,0,14.91,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1
8727,GI05-191720R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Boro-Silicate,Alumino-Silicate,AlkaliSilicate,,,,,ElectronicsElectrical,Substrate,PlasmaDisplay,,Anneal:at660Cfor1hr.,GlassNameC080.Melt:inPtRhat1480Cfor4.5hr.Opalglass.,,51.98,10.96,10.8,0.12,15.88,0,0,5.08,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3
16546,GP09-312795,JapanesePatentNipponElectricGlass(J),2013,A227187,Glass,OtherSilicate,,,NonLead,NonPbAsSb,,,OpticalUse,Lens&Prism,VideoCamera,,,Ex.1,,51.4,0,0,0,0,0,2.25,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,10.43,0,0,0,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.9
2618,GP09-031161,JapanesePatent,1984,A003041,Glass,OtherSilicate,AlkaliSilicate,Alkaline-earthSilicate,,,,,OphthalmicLens,,,,,,,64.9,0,0,0,9.44,0,1.04,12.06,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.64
13851,GP07-290790,USPatent,2009,A0163342,Glass,Zinc-Silicate,AlkaliSilicate,,Fiber,,,,OpticalWaveguide,,,,,U.kolbergetal.Ex.2,,59.3,0,0,0,0,0.42,1.99,7.72,5.16,0,0,0,0,0,0,21.04,0,0,0,0,0,0,0.12,0,0,2.12,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.68
6713,GP03-155472,JapanesePatentOharaInc.(J),1994,A107426,Glass,Alkaline-earthSilicate,AlkaliSilicate,Boro-Silicate,,,,,Lens&Prism,,,,,,,55.26,9.06,1.24,0,19.3,5.63,2.22,3.96,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5
8334,GP03-188346,JapanesePatent,1999,A171586,Glass,Alkaline-earthSilicate,Boro-Silicate,,NonLead,,,,Lens&Prism,OpticalUse,,,,,,64.61,7.6,0.69,0,0.37,5.27,0,7.31,5.11,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.65
8128,GP05-182885,EuropeanPatentCorningInc.(US),1998,A0855993,Glass,Boro-Silicate,OtherSilicate,,,,,,OphthalmicLens,UVAbsorbingMaterial,,,,,,58.73,16.04,0,0,0,2.75,4.96,3.28,2.24,0,0,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5
5268,GB03-099540,PropertiesofGlass,1954,v.001p.0425,Glass,Alkaline-earthSilicate,Zinc-Silicate,AlkaliSilicate,,,,,OpticalUse,,,,,Type:7472M.B.C.,,57.99,5.98,0.15,0,0.29,16.74,0,0,8.07,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1
10086,GJ03-220297,J.CeramicSoc.Japan,2002,v.110p.1073,Glass,Alkaline-earthSilicate,,,Sol-Gel,,,,OpticalUse,,,,,Center,,66.35,0,0,0,0,9.48,0,0,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.95
8594,GI02-190618R,NGF'sAdditionalNewData(J),2000,v.002p.0001,Glass,AlkaliSilicate,Alumino-Silicate,Alkaline-earthSilicate,,,,,Substrate,,,,Annealing:at650Cfor2hr.,GlassNameA34.Melting:inPtcrucibleat1600Cfor5hr.,,60.07,0,9.89,0,10.03,0,0,9.83,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4
14194,GP03-294508,EuropeanPatentNipponSheetGlass(J),2009,A2119680,Glass,Alkaline-earthSilicate,Alumino-Silicate,,Flake,,,,Filler,,,,,Ex.7,,60.01,0,7.7,4.26,22.03,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2059,GB02-019476,HandbookofGlassData,1987,v.00Cp.0165,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,68,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6
858,GB09-012025,HandbookofGlassProperties,1986,v.001p.0578,Glass,OtherSilicate,AlkaliSilicate,,,,,,,,,,,,,76.99,0,0,0,0,0,0,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.48
6167,GP02-129695,EuropeanPatent,1993,A0560555,Glass,AlkaliSilicate,OtherSilicate,,NonLead,,,,TableWare,Container,,,,,,69.72,0,0,0,0,0,0,20.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.69,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
16306,GP03-311107,JapanesePatentNipponSheetGlass(J),2013,A067519,Glass,Alkaline-earthSilicate,Alumino-Silicate,,Flake,,,,Filler,,,,,Ex.3,,60,1,8.7,6.84,16.76,0,0,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
13915,GP03-292661,JapanesePatentOharaInc.(J),2009,A179535,Glass,Alkaline-earthSilicate,,,,,,,OpticalUse,Lens&Prism,OpticalFiber,,,Ex.6,,59.24,0,0,0,0,12.85,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,1.19,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1
2805,GC01-051466,CorningInc.(US),1960,7940,Glass,Silica,,,SheetGlass,CVD,,,Machinary,Substrate,Space,,,FusedSilica.Clear,,99.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8
2399,GB03-024999,HandbookofGlassData,1987,v.00Cp.0774,Glass,Alkaline-earthSilicate,Alumino-Silicate,,,,,,,,,,,,,52,0,12,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7
2340,GB03-024270,HandbookofGlassData,1987,v.00Cp.0684,Glass,Alkaline-earthSilicate,Zinc-Silicate,,,,,,,,,,,,,58,0,0,0,0,28,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8
1031,GB03-012556,HandbookofGlassProperties,1986,v.001p.0591,Glass,Alkaline-earthSilicate,Zinc-Silicate,,,,,,,,,,,,,62,0,0,0,0,26,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5
13219,XP06-282196,USPatentOharaInc.(J),2007,A0293386,Glass-Ceramics,Alumino-Silicate,,,GlassCeramics,,,,Substrate,Semiconductor,,,650-750C1-150hr.,Ex.3,,64.25,0,15.75,1.7,1.22,0.45,9.15,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.11,0.2,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6
8505,XP03-189486,USPatent,1999,A5897678,Glass-Ceramics,Alkaline-earthSilicate,AlkaliSilicate,,,,,,,,,,,,,61.71,2.05,0,0,2.54,6.05,0,6.9,6.06,0,0,0,0,0,0,7.88,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
2324,GB03-024245,HandbookofGlassData,1987,v.00Cp.0683,Glass,Alkaline-earthSilicate,Zinc-Silicate,,,,,,,,,,,,,58,0,0,0,0,36,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8
11466,GP03-254446,EuropeanPatentOharaInc.(J),2003,A1354859,Glass,Alkaline-earthSilicate,AlkaliSilicate,,NonLead,,,,OpticalUse,Lens&Prism,,,,Ex.10,,56.69,1.04,2.13,0,2.84,5.67,0,7.6,6.54,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.004972,0,0,0,0,0,16.33,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4
1092,GB03-012920,HandbookofGlassProperties,1986,v.001p.0600,Glass,Alkaline-earthSilicate,OtherSilicate,,,,,,,,,,,,,55,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6
4851,GB02-096129,PropertiesofGlass,1954,v.001p.0233,Glass,AlkaliSilicate,Alkaline-earthSilicate,Boro-Silicate,,,,,,,,,,,,65.48,12.35,0.38,0,10,0,0,6.36,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4
11832,GP03-261026,JapanesePatentCarlZeiss(DE),2004,A256389,Glass,Alkaline-earthSilicate,,,Fiber,NonLead,,,OpticalUse,OpticalWaveguide,,,,Ex.10,,51.56,0,5.93,0,0,11.34,0,15.86,0,0,0,0,0,0,0,11.15,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
6740,GP09-155641,JapanesePatentOharaInc.(J),1994,A135738,Glass,OtherSilicate,AlkaliSilicate,,,,,,OpticalUse,Lens&Prism,,,,,,52.35,0,0,0,6.26,4.77,0,4.37,12.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.2
6873,GJ03-158054,J.Non-CrystallineSolids,1994,v.169p.0288,Glass,Alkaline-earthSilicate,,,,,,,,,,,,,,60,0,0,10,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9
4331,GP05-082935,EuropeanPatentSchottAG(DE),1982,A0063790,Glass,Boro-Silicate,Lead-Silicate,AlkaliSilicate,Photochromic,,,,OphthalmicLens,,,,,,,50.17,19.64,0,0,0,0,9.57,0,4.58,0.08,0,0,0,0,0.01,0,0,0,2.52,0,0,0,0,0,0,3,0,0,0,0,1.98,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,1.13,0,40
5277,GP09-099702,USPatentSchottGlassTech.(US),1984,A4444893,Glass,OtherSilicate,AlkaliSilicate,Alkaline-earthSilicate,,,,,OphthalmicLens,,,,,,,64.9,0,0,0,9.44,0,1.04,12.06,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.64
9041,GP05-205486,JapanesePatentOharaInc.(J),2000,A247678,Glass,Boro-Silicate,,,,,,,OpticalUse,Lens&Prism,,,,,,64.67,16.47,4.37,0,0,0,4.26,6.68,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.9
